age,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
21,39,29,42,63,34,32,63,11,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,69,62,67,62,60,63,60,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,63,58,46,71,38,49,73,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,14,1,0,1,5,0,2,0,0,40,0,0,0,0,0,0,0,0,0,0,1,0
31,64,58,57,69,58,31,73,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,66,58,72,68,58,51,66,7,15,48,25,12,0,2,3,2,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,42,47,35,52,30,29,63,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,64,60,64,64,49,36,64,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,70,65,68,79,33,57,82,15,8,77,25,1,0,2,9,7,1,2,0,0,25,0,89,29,3,2,0,8,4,0,0,0,0,30,0,0,1,0,0,0,0,0,0,0,0,0
33,73,70,71,80,66,59,76,6,7,11,3,23,0,0,1,2,0,0,0,0,2,0,49,14,21,0,0,7,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0
33,70,68,68,72,60,54,61,9,14,3,0,6,0,0,0,0,0,0,0,0,0,0,17,5,23,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0
23,54,52,53,67,31,46,69,10,12,5,3,22,1,0,0,0,0,1,0,0,8,1,29,15,6,1,0,4,5,1,1,0,0,28,0,0,0,0,0,0,0,1,0,0,0,0
27,62,66,62,62,64,50,62,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,69,58,72,68,58,49,73,6,13,9,8,8,0,0,1,3,0,0,0,0,20,0,57,12,17,2,0,4,2,0,4,0,0,23,1,0,0,1,0,0,0,0,0,0,0,0
23,71,68,76,66,68,71,70,7,7,21,11,5,0,1,3,1,0,2,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,43,37,46,62,33,34,64,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
