age,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
34,39,28,23,21,10,57,12,78,86,81,32,0,0,0,8,4,0,1,1,0,40,0,124,35,0,0,0,17,4,1,0,0,0,25,0,0,0,1,0,0,0,0,0,0,0,0
27,24,25,15,15,10,37,11,68,73,15,9,28,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,48,33,24,16,12,57,19,72,75,14,9,19,0,0,2,0,0,0,0,0,19,0,44,19,19,0,0,4,2,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0
24,26,27,14,21,18,46,19,69,74,11,2,26,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,12,13,12,22,14,58,15,75,71,61,29,8,0,0,7,1,0,0,0,0,46,0,71,29,6,0,0,8,1,0,0,0,0,36,1,0,1,0,0,0,0,0,0,0,0,0
35,33,48,30,19,7,47,15,76,81,61,16,22,0,0,6,0,0,0,1,0,13,0,8,3,35,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
27,32,36,22,15,14,48,11,77,87,128,38,0,0,0,14,0,0,0,2,0,38,0,91,34,1,0,0,8,1,0,0,0,0,34,0,0,0,0,0,0,0,1,0,0,0,0
28,40,31,25,21,15,58,11,82,83,87,34,0,0,0,10,1,0,0,1,0,49,0,59,32,1,0,0,5,2,0,0,0,0,50,0,0,0,0,0,0,1,0,0,0,0,0
26,39,44,12,12,10,37,20,78,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,52,41,30,15,12,48,18,75,82,106,36,0,0,0,11,1,0,1,0,0,35,0,73,25,13,0,0,9,3,0,1,0,0,28,0,0,0,1,0,0,0,0,0,0,0,0
34,34,33,18,24,15,14,12,74,76,124,38,0,0,0,18,3,0,0,0,0,41,0,5,3,34,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
25,20,22,22,22,13,33,10,64,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
