age,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
18,53,36,67,16,62,45,22,10,11,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,65,43,70,28,71,50,13,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,68,40,70,43,70,59,29,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,65,61,56,48,53,63,29,6,9,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,79,53,84,21,84,66,20,14,15,160,28,6,15,8,0,1,0,15,0,0,0,0,57,12,13,5,2,0,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
30,84,83,84,70,67,83,60,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,65,57,74,45,76,65,42,14,6,68,15,4,7,1,0,3,0,6,0,0,0,0,89,13,15,9,2,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,73,55,73,23,74,68,20,14,11,53,15,0,5,0,0,0,0,9,0,1,0,0,129,34,2,12,2,0,5,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
22,68,56,85,45,79,69,46,10,16,82,11,26,4,8,0,5,0,7,0,0,0,0,64,8,28,5,4,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,58,30,69,24,72,39,20,14,15,13,2,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,68,57,75,29,69,64,20,15,14,46,16,11,2,2,0,10,0,9,0,0,0,0,25,9,23,1,0,0,3,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,59,49,71,14,72,37,14,6,7,29,9,13,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,75,58,84,42,80,72,35,8,22,79,18,13,4,6,0,2,0,11,0,0,0,0,133,31,4,11,5,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,70,66,71,64,66,60,56,13,12,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,79,75,86,35,91,76,23,8,28,169,36,1,16,8,0,3,0,14,0,2,0,0,192,36,2,22,5,0,5,0,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
34,68,56,75,26,78,68,20,10,7,21,6,11,0,1,0,0,0,6,0,0,0,0,68,16,17,4,2,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,71,56,83,21,80,72,21,14,13,54,16,7,3,1,0,2,0,6,0,0,0,0,110,27,2,11,1,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,56,42,70,19,69,37,21,7,10,54,12,18,4,1,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,49,41,59,25,50,53,27,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,65,54,68,29,70,61,31,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,74,70,76,43,65,67,22,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,8,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,54,38,55,20,53,57,23,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,73,52,82,23,86,73,46,10,9,134,27,5,16,1,0,8,0,5,0,0,0,0,169,30,4,20,6,0,9,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
23,63,62,76,36,79,60,29,16,6,45,4,19,5,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,65,61,75,18,47,48,18,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,60,58,62,28,62,64,28,6,13,28,4,14,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,48,22,45,25,54,43,23,15,11,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,69,69,75,27,71,67,18,15,7,15,2,20,1,1,0,1,1,2,0,0,0,0,21,5,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,67,49,75,28,73,66,22,6,7,6,0,9,0,0,0,0,0,0,0,0,0,0,74,16,16,5,3,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,62,36,68,32,72,64,35,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,76,19,9,7,0,0,3,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,66,57,76,35,73,63,33,10,10,78,20,8,6,2,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,46,35,67,22,64,48,16,8,8,16,2,29,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
