age,Position,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
32,Defender,63,64,63,66,39,38,69,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,Midfielder,64,52,76,24,75,66,20,12,14,37,7,25,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,Midfielder,73,69,81,51,70,68,34,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,Midfielder,68,66,63,61,56,60,57,9,13,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,Midfielder,51,43,59,59,47,44,59,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,Defender,76,73,73,80,67,68,75,16,14,51,25,4,2,1,6,4,0,3,0,0,53,0,76,32,0,5,1,2,3,1,1,0,0,49,0,0,0,0,0,0,0,0,0,1,0,0
19,Defender,65,56,63,63,51,51,62,7,10,9,10,14,0,0,1,3,0,4,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,Defender,62,60,52,65,31,57,72,15,10,59,30,4,1,0,5,7,0,6,0,0,47,1,60,26,2,1,0,7,5,1,2,0,0,34,1,0,0,0,1,0,0,0,0,0,0,0
23,Midfielder,61,55,68,43,61,61,31,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,Defender,61,68,68,70,68,57,70,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26,5,0,1,2,7,0,1,0,0,64,2,1,0,0,0,0,0,0,0,0,0,0
