age,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
28,58,62,55,65,49,43,71,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,65,65,72,49,68,71,17,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,73,72,74,65,48,63,54,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,63,33,1,1,1,0,8,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,77,70,84,59,79,74,54,4,14,130,36,2,6,10,0,2,0,18,0,1,0,0,106,28,5,10,2,0,4,0,17,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
27,68,56,74,22,60,65,24,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,67,16,21,3,3,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,72,58,74,62,74,73,33,7,14,34,13,14,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,83,80,86,61,81,83,54,7,11,55,14,12,3,3,0,1,0,5,0,0,0,0,41,9,11,2,3,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,64,61,68,32,55,62,36,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,84,71,89,39,85,83,29,8,15,139,21,9,13,9,0,0,0,9,0,0,0,0,51,14,1,4,1,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,67,62,76,57,71,68,60,8,12,9,3,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
